FID,FID_mxd14a,index,class11,class12,class21,class2197,class22,class23,class2600,class2601,class2602,class2603,class2604,class2605,class2606,class2607,class2608,class2609,class2610,class2611,class2612,class2631,class2633,class2634,class2635,class2636,class2740,class2745,class2751,class2753,class2757,class2763,class2773,class2776,class2777,class2782,class2786,class2793,class31,FireMask,MaxFRP,QA,count,latitude,longID,longitude,newdate,year,sample,FID_inters,FID_StudyF,Id,FID_firePe,FireName,FireYear,CalcAcres,PerimDate,PerimTime,AgencyAcre,Method,Source,SrcMethod,SrcClass,EditDate,Comments,FIREID,Final,LATESTPERI,Record_,FalseAlarm,Complex,AFSFire_,DOFFire_,USFSFire_,AddFire_,Prescribed,EstCost,EstAcres,StrThreat,StrBurned,MgmID,MgmOffId,MgmOption,Latitude_1,Longitud_1,MapName,NearestWX,OriginOwn,OriginUnit,DiscDate,DiscSize,IADate,IASize,CntrlDate,OutDate,InitBehave,PrimFuel,GenCause,SpecCause,Slope,Aspect,Elevation,AREA,LEN,junk,Region
0,0,2_+14225+2918,9, , ,0,0, ,127, ,1,23,225,200,0, , ,2,8,1,2, , , , , , ,7,77,0,55,12,45, ,0,12,154,0,3,9,198,6,1,65.679166660000007,149216,-149.216472600000000,6/24/2003 0:00:00,2003,631,127,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
1,0,2_+14225+2918,9, , ,0,0, ,127, ,1,23,225,200,0, , ,2,8,1,2, , , , , , ,7,77,0,55,12,45, ,0,12,154,0,3,9,198,6,1,65.679166660000007,149216,-149.216472600000000,6/24/2003 0:00:00,2003,631,128,0,0,1480,132376,1991,55978.300000000003000,11/1/1991 0:00:00,1991/11/01 10:00,0.000000000000000, , , , ,4/17/2007 0:00:00,Fire perimeter imported from fire history.,23408, ,Yes, , , ,B376,132376,P02376, , ,0.000000000000000,49906.000000000000000,0,0,AFS,TAD,MODIFIED,66.000000000000000,-149.300000000000010, , ,BLM,KOD,6/22/1991 0:00:00,0.000000000000000,,0.000000000000000,,8/21/1991 0:00:00, , , ,LIGHTNING, , , ,0.044093720000000,1.304385156000000,1,Fish Creek
2,1,2_+14228+2917,0, , ,0,0, ,33, ,7,122,146,525,0, , ,18,11,2,18, , , , , , ,3,5,0,2,0,0, ,0,2,63,0,0,8,67,6,1,65.687499990000006,149203,-149.203787299999990,6/27/2003 0:00:00,2003,825,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
3,1,2_+14228+2917,0, , ,0,0, ,33, ,7,122,146,525,0, , ,18,11,2,18, , , , , , ,3,5,0,2,0,0, ,0,2,63,0,0,8,67,6,1,65.687499990000006,149203,-149.203787299999990,6/27/2003 0:00:00,2003,825,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
4,2,2_+14230+2917,1, , ,0,18, ,66, ,33,113,354,281,0, , ,29,0,0,0, , , , , , ,0,21,0,0,1,0, ,0,1,48,0,0,9,882,6,1,65.687499990000006,149163,-149.163306000000010,6/25/2003 0:00:00,2003,629,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
5,2,2_+14230+2917,1, , ,0,18, ,66, ,33,113,354,281,0, , ,29,0,0,0, , , , , , ,0,21,0,0,1,0, ,0,1,48,0,0,9,882,6,1,65.687499990000006,149163,-149.163306000000010,6/25/2003 0:00:00,2003,629,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
6,3,2_+14233+2916,0, , ,0,0, ,113, ,73,142,412,117,0, , ,5,0,0,11, , , , , , ,0,4,0,0,0,0, ,0,6,81,0,0,8,2776,6,1,65.695833329999999,149150,-149.150602600000010,6/25/2003 0:00:00,2003,1350,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
7,3,2_+14233+2916,0, , ,0,0, ,113, ,73,142,412,117,0, , ,5,0,0,11, , , , , , ,0,4,0,0,0,0, ,0,6,81,0,0,8,2776,6,1,65.695833329999999,149150,-149.150602600000010,6/25/2003 0:00:00,2003,1350,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
8,4,2_+14234+2915,0, , ,0,90, ,132, ,146,154,241,100,0, , ,3,4,0,1, , , , , , ,2,0,0,0,1,0, ,0,7,77,2,0,8,2776,6,1,65.704166659999999,149178,-149.178401500000010,6/25/2003 0:00:00,2003,1350,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
9,4,2_+14234+2915,0, , ,0,90, ,132, ,146,154,241,100,0, , ,3,4,0,1, , , , , , ,2,0,0,0,1,0, ,0,7,77,2,0,8,2776,6,1,65.704166659999999,149178,-149.178401500000010,6/25/2003 0:00:00,2003,1350,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
10,6,2_+14235+2915,0, , ,0,84, ,245, ,89,220,123,94,0, , ,2,18,0,2, , , , , , ,4,0,0,0,1,0, ,0,29,54,0,0,8,2776,6,1,65.704166659999999,149158,-149.158147899999990,6/25/2003 0:00:00,2003,1350,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
11,6,2_+14235+2915,0, , ,0,84, ,245, ,89,220,123,94,0, , ,2,18,0,2, , , , , , ,4,0,0,0,1,0, ,0,29,54,0,0,8,2776,6,1,65.704166659999999,149158,-149.158147899999990,6/25/2003 0:00:00,2003,1350,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
12,8,2_+14236+2915,0, , ,0,0, ,148, ,42,280,185,112,0, , ,9,39,0,57, , , , , , ,25,0,0,1,0,0, ,0,14,49,0,0,8,2776,6,1,65.704166659999999,149137,-149.137894200000010,6/25/2003 0:00:00,2003,1350,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
13,8,2_+14236+2915,0, , ,0,0, ,148, ,42,280,185,112,0, , ,9,39,0,57, , , , , , ,25,0,0,1,0,0, ,0,14,49,0,0,8,2776,6,1,65.704166659999999,149137,-149.137894200000010,6/25/2003 0:00:00,2003,1350,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
14,12,2_+14239+2915,0, , ,0,0, ,301, ,12,145,153,171,0, , ,0,1,0,0, , , , , , ,0,78,0,0,0,48, ,0,0,47,0,0,8,380,6,1,65.704166659999999,149077,-149.077133199999990,6/25/2003 0:00:00,2003,943,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
15,12,2_+14239+2915,0, , ,0,0, ,301, ,12,145,153,171,0, , ,0,1,0,0, , , , , , ,0,78,0,0,0,48, ,0,0,47,0,0,8,380,6,1,65.704166659999999,149077,-149.077133199999990,6/25/2003 0:00:00,2003,943,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
16,13,2_+14240+2915,0, , ,0,0, ,210, ,21,32,198,167,0, , ,0,13,0,0, , , , , , ,0,168,0,2,0,69, ,2,3,77,0,0,8,380,6,1,65.704166659999999,149056,-149.056879500000010,6/25/2003 0:00:00,2003,943,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
17,13,2_+14240+2915,0, , ,0,0, ,210, ,21,32,198,167,0, , ,0,13,0,0, , , , , , ,0,168,0,2,0,69, ,2,3,77,0,0,8,380,6,1,65.704166659999999,149056,-149.056879500000010,6/25/2003 0:00:00,2003,943,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
18,14,2_+14242+2915,0, , ,0,0, ,84, ,88,51,154,163,0, , ,0,78,0,3, , , , , , ,0,47,0,1,0,128, ,0,18,147,0,0,9,183,2,1,65.704166659999999,149016,-149.016372200000010,6/23/2003 0:00:00,2003,624,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
19,14,2_+14242+2915,0, , ,0,0, ,84, ,88,51,154,163,0, , ,0,78,0,3, , , , , , ,0,47,0,1,0,128, ,0,18,147,0,0,9,183,2,1,65.704166659999999,149016,-149.016372200000010,6/23/2003 0:00:00,2003,624,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
20,5,2_+14235+2914,0, , ,0,22, ,54, ,63,81,536,151,0, , ,0,0,0,0, , , , , , ,0,16,0,0,4,0, ,0,0,33,0,0,8,2776,6,1,65.712499989999998,149206,-149.206221500000000,6/25/2003 0:00:00,2003,1350,9,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
21,7,2_+14236+2914,0, , ,0,136, ,96, ,178,94,268,150,0, , ,0,1,0,0, , , , , , ,4,2,0,0,4,0, ,0,0,27,0,0,8,2776,6,1,65.712499989999998,149185,-149.185961300000000,6/25/2003 0:00:00,2003,1350,9,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
22,9,2_+14237+2914,0, , ,0,0, ,50, ,182,121,325,209,0, , ,26,5,0,1, , , , , , ,8,1,0,0,0,0, ,0,3,28,0,0,8,2776,6,1,65.712499989999998,149165,-149.165701100000010,6/25/2003 0:00:00,2003,1350,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
23,9,2_+14237+2914,0, , ,0,0, ,50, ,182,121,325,209,0, , ,26,5,0,1, , , , , , ,8,1,0,0,0,0, ,0,3,28,0,0,8,2776,6,1,65.712499989999998,149165,-149.165701100000010,6/25/2003 0:00:00,2003,1350,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
24,10,2_+14238+2913,0, , ,0,0, ,103, ,160,160,325,180,0, , ,0,3,0,4, , , , , , ,0,1,0,0,3,0, ,0,5,19,0,0,8,2776,6,1,65.720833330000005,149193,-149.193529100000010,6/25/2003 0:00:00,2003,1350,9,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
25,11,2_+14239+2913,0, , ,0,0, ,132, ,167,47,376,49,0, , ,1,6,0,15, , , , , , ,5,0,0,0,0,0, ,0,6,155,0,0,8,2776,6,1,65.720833330000005,149173,-149.173262400000000,6/25/2003 0:00:00,2003,1350,9,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
26,16,2_+14256+2913,0, , ,0,0, ,147, ,5,124,59,353,0, , ,0,0,0,117, , , , , , ,0,2,0,0,1,0, ,0,0,149,0,0,9,1333,6,1,65.720833330000005,148828,-148.828728000000010,6/27/2003 0:00:00,2003,298,3,0,0,84,832015,1988,558929.000000000000000,11/1/1988 0:00:00,1988/11/01 17:00,0.000000000000000, ,Digitized,Image, ,10/17/2008 0:00:00,Perimeter partially modified from 2002 Landsat image P69 R14.,25174,No,Yes, , , ,A043,832015, , , ,0.000000000000000,541231.000000000000000,0,0, ,UYK,LIMITED,66.000000000000000,-148.099999999999990, , ,FWS,YKE,6/11/1988 0:00:00,0.000000000000000,,0.000000000000000,,10/1/1988 0:00:00, , , ,LIGHTNING, , , ,0.445917383000000,10.580153418000000,1,Fish Creek
27,17,2_+14257+2913,0, , ,0,0, ,242, ,16,115,79,397,0, , ,4,0,0,86, , , , , , ,0,5,0,0,3,0, ,0,0,10,0,0,8,324,6,1,65.720833330000005,148808,-148.808461300000000,6/26/2003 0:00:00,2003,229,3,0,0,84,832015,1988,558929.000000000000000,11/1/1988 0:00:00,1988/11/01 17:00,0.000000000000000, ,Digitized,Image, ,10/17/2008 0:00:00,Perimeter partially modified from 2002 Landsat image P69 R14.,25174,No,Yes, , , ,A043,832015, , , ,0.000000000000000,541231.000000000000000,0,0, ,UYK,LIMITED,66.000000000000000,-148.099999999999990, , ,FWS,YKE,6/11/1988 0:00:00,0.000000000000000,,0.000000000000000,,10/1/1988 0:00:00, , , ,LIGHTNING, , , ,0.445917383000000,10.580153418000000,1,Fish Creek
28,15,2_+14251+2912,24, , ,1,0, ,32, ,4,171,231,213,0, , ,0,0,0,5, , , , , , ,0,5,0,48,4,8, ,0,0,215,0,0,9,808,6,1,65.729166660000004,148978,-148.978099100000010,6/26/2003 0:00:00,2003,233,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
29,15,2_+14251+2912,24, , ,1,0, ,32, ,4,171,231,213,0, , ,0,0,0,5, , , , , , ,0,5,0,48,4,8, ,0,0,215,0,0,9,808,6,1,65.729166660000004,148978,-148.978099100000010,6/26/2003 0:00:00,2003,233,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
30,18,2_+14258+2911,0, , ,0,0, ,44, ,254,11,176,211,0, , ,0,0,0,13, , , , , , ,0,1,0,14,3,7, ,0,0,225,0,0,8,198,6,1,65.737499990000003,148884,-148.884211999999990,7/9/2003 0:00:00,2003,1283,24,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
31,19,2_+14259+2911,0, , ,0,0, ,8, ,31,0,221,43,0, , ,0,0,0,40, , , , , , ,0,1,0,4,4,1, ,0,5,598,0,0,8,198,6,1,65.737499990000003,148863,-148.863932100000000,7/9/2003 0:00:00,2003,1283,9,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
32,20,2_+14260+2911,0, , ,0,0, ,22, ,32,38,35,215,0, , ,0,0,0,49, , , , , , ,0,3,0,2,1,0, ,0,13,544,0,0,8,198,6,1,65.737499990000003,148843,-148.843652300000000,7/9/2003 0:00:00,2003,1283,129,0,0,941,Fish Creek,2005,101585.600000000010000,8/23/2005 0:00:00,2005/08/23 06:00,0.000000000000000, , , , ,4/19/2007 0:00:00,Firehawk Update,2618, ,Yes,269, , ,BUV3,531269, , , ,0.000000000000000,117747.700000000000000,0,0,AFS,UYD,LIMITED,66.000000000000000,-148.800000000000010,Livengood D-4, ,STA,L&W,6/16/2005 0:00:00,0.000000000000000,,0.000000000000000,9/26/2005 0:00:00,9/26/2005 0:00:00,Creeping, ,Lightning,Lightning, , , ,0.080522134000000,2.790286637000000,1,Fish Creek
33,20,2_+14260+2911,0, , ,0,0, ,22, ,32,38,35,215,0, , ,0,0,0,49, , , , , , ,0,3,0,2,1,0, ,0,13,544,0,0,8,198,6,1,65.737499990000003,148843,-148.843652300000000,7/9/2003 0:00:00,2003,1283,130,0,0,1569,ROGERS,1967,28675.000000000000000,11/1/1967 0:00:00,1967/11/01 08:00,0.000000000000000, ,Digitized,Image, ,2/27/2008 0:00:00,Perimeter modified from 1974 Landsat image P77 R14.,26156,No,Yes, , , ,Y85, , , , ,0.000000000000000,15000.000000000000000,0,0, ,FAI, ,66.000000000000000,-148.900000000000010, , ,FED, ,6/16/1967 0:00:00,0.000000000000000,,0.000000000000000,,, , , ,L, , , ,0.022680654000000,1.409733437000000,1,Fish Creek
